snapped_at,price,market_cap,total_volume
2021-10-28 00:00:00 UTC,28.73817498725193,62158394.893033646,17639.319572742217
2021-10-29 00:00:00 UTC,32.38400253334491,69614155.75875586,1450.3266376867134
2021-10-30 00:00:00 UTC,28.809241823625687,61929684.12525607,1890.9723720465959
2021-10-31 00:00:00 UTC,27.658853249028063,59456755.4212556,16364.64511849736
2021-11-01 00:00:00 UTC,32.67852055248585,70346606.25019978,19764.681597777442
2021-11-02 00:00:00 UTC,34.16307328112357,77803235.47282301,5274.283985084171
2021-11-03 00:00:00 UTC,32.11981986367824,68608033.12768812,9117.461402900004
2021-11-04 00:00:00 UTC,33.26124057747971,71397158.46628653,3494.7773313721414
2021-11-05 00:00:00 UTC,33.190040244082375,71131586.01532643,5127.740743707445
2021-11-06 00:00:00 UTC,31.32999155327426,66986139.56844011,12199.614367101633
2021-11-07 00:00:00 UTC,27.963716068120213,61778251.022117905,1681.8919351441891
2021-11-08 00:00:00 UTC,26.254147020784618,56405196.043147504,10518.757572479526
2021-11-09 00:00:00 UTC,29.13553901650792,62645628.55086069,873.8846822982775
2021-11-10 00:00:00 UTC,29.556448499315778,63634174.801111855,8752.814299135229
2021-11-11 00:00:00 UTC,28.396474092137314,61225265.85297669,12776.318801724896
2021-11-12 00:00:00 UTC,28.608632653956093,61557927.45109692,4547.5267209196645
2021-11-13 00:00:00 UTC,27.85289813307547,59760313.664154924,2902.0518394761534
2021-11-14 00:00:00 UTC,29.90909228509523,64229431.41576162,14779.899044953438
2021-11-15 00:00:00 UTC,31.861812529608205,68001691.40318967,21004.496962949317
2021-11-16 00:00:00 UTC,29.47941660046101,63390066.75234726,7563.411015121572
2021-11-17 00:00:00 UTC,25.668085290337824,55005449.54209508,1223.706242394183
2021-11-18 00:00:00 UTC,28.255952787756787,60739499.12404529,16419.037580792985
2021-11-19 00:00:00 UTC,25.839484303999818,55545755.44552909,6292.470737253707
2021-11-20 00:00:00 UTC,29.707265223830877,63652103.76870488,8503.042616744617
2021-11-21 00:00:00 UTC,25.084284309929075,53917039.11103044,11274.812099089882
2021-11-22 00:00:00 UTC,30.880672144932408,66505056.26227298,2089.5557613716214
2021-11-23 00:00:00 UTC,14.310069515067509,30750289.18125323,13580.231182651385
2021-11-24 00:00:00 UTC,26.267160320174398,56443281.36391063,7954.593750555627
2021-11-25 00:00:00 UTC,20.750482268992354,44568925.595240146,3567.1268956528215
2021-11-26 00:00:00 UTC,27.113415899911367,58317498.19606921,84.17631100286482
2021-11-27 00:00:00 UTC,23.362178816388642,50220424.52329326,1316.6550186055576
2021-11-28 00:00:00 UTC,19.30378553386185,41496313.851389624,14682.958217009545
2021-11-29 00:00:00 UTC,21.80225991556557,46890488.02223297,6375.429925865633
2021-11-30 00:00:00 UTC,18.402736011625016,39821481.69039891,5042.648469837254
2021-12-01 00:00:00 UTC,18.363530373855937,39390523.19252431,36.727060747711874
2021-12-02 00:00:00 UTC,24.54819332113446,52779685.1717526,21188.962088448996
2021-12-03 00:00:00 UTC,26.182094062476928,56304510.93372593,5246.295960159865
2021-12-04 00:00:00 UTC,26.14297335278944,56198149.59883869,10.457189341115777
